Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,4410,4590,4400,4590,4004.531982,143446200
2022-03-14,4650,4670,4540,4580,3995.807129,166572700
2022-03-15,4630,4630,4570,4620,4030.705078,231077800
2022-03-16,4660,4660,4550,4630,4039.429443,109961900
2022-03-17,4550,4580,4450,4480,3908.562744,246300800
2022-03-18,4490,4540,4470,4540,3960.909424,210266100
2022-03-21,4550,4570,4520,4550,3969.633789,79691600
2022-03-22,4550,4580,4540,4550,3969.633789,98699900
2022-03-23,4550,4570,4500,4550,3969.633789,78299500
2022-03-24,4500,4570,4500,4560,3978.358398,89578400
2022-03-25,4510,4540,4480,4520,3943.460449,90053700
2022-03-28,4510,4600,4500,4600,4013.256348,184131000
2022-03-29,4600,4620,4560,4560,3978.358398,77920800
2022-03-30,4620,4620,4560,4580,3995.807129,118749100
2022-03-31,4620,4640,4560,4580,3995.807129,108109700
2022-04-01,4550,4580,4530,4580,3995.807129,86590300
2022-04-04,4560,4570,4490,4540,3960.909424,103480300
2022-04-05,4550,4550,4500,4520,3943.460449,52172300
2022-04-06,4490,4500,4420,4430,3864.940186,108368800
2022-04-07,4450,4540,4440,4540,3960.909424,143921800
2022-04-08,4580,4610,4560,4580,3995.807129,161974500
2022-04-11,4610,4610,4550,4590,4004.531982,90521500
2022-04-12,4620,4630,4580,4630,4039.429443,187948000
2022-04-13,4700,4720,4650,4690,4091.776367,196864200
2022-04-14,4700,4730,4660,4680,4083.052002,112735200
2022-04-18,4720,4730,4690,4710,4109.225586,120778200
2022-04-19,4740,4750,4680,4680,4083.052002,92268300
2022-04-20,4680,4690,4620,4630,4039.429443,88360900
2022-04-21,4620,4670,4600,4620,4030.705078,97575800
2022-04-22,4620,4680,4580,4620,4030.705078,101299100
2022-04-25,4610,4720,4580,4710,4109.225586,92045500
2022-04-26,4680,4760,4670,4760,4152.847656,85945800
2022-04-27,4720,4790,4720,4770,4161.572266,136485600
2022-04-28,4850,4850,4620,4620,4030.705078,198484800
2022-05-09,4560,4560,4300,4310,3760.246338,343682000
2022-05-10,4120,4380,4120,4340,3786.419922,281386300
2022-05-11,4400,4480,4330,4330,3777.695313,154455400
2022-05-12,4340,4390,4250,4300,3751.521973,233518500
2022-05-13,4250,4350,4230,4260,3716.624268,190889200
2022-05-17,4250,4290,4180,4180,3646.828613,170880700
2022-05-18,4230,4290,4190,4250,3707.899902,185359500
2022-05-19,4180,4230,4150,4210,3673.001709,112679300
2022-05-20,4220,4230,4170,4170,3638.104004,141701800
2022-05-23,4160,4180,4070,4110,3585.757080,196569900
2022-05-24,4120,4200,4120,4150,3620.655029,151693700
2022-05-25,4200,4210,4150,4200,3664.277344,166595400
2022-05-27,4260,4300,4210,4300,3751.521973,186513500
2022-05-30,4340,4340,4200,4250,3707.899902,107614100
2022-05-31,4270,4330,4230,4310,3760.246338,469620300
2022-06-02,4390,4390,4270,4290,3742.797607,164481100
2022-06-03,4310,4390,4300,4310,3760.246338,108852800
2022-06-06,4310,4340,4270,4340,3786.419922,79319400
2022-06-07,4340,4340,4250,4250,3707.899902,142504000
2022-06-08,4150,4170,4080,4100,3707.868652,202555900
2022-06-09,4080,4130,4050,4050,3662.650635,148580200
2022-06-10,4040,4080,4000,4020,3635.520020,189186700
2022-06-13,3950,4100,3930,4080,3689.781494,156054900
2022-06-14,4050,4120,4020,4110,3716.912109,117325600
2022-06-15,4060,4080,4030,4060,3671.694336,94848800
2022-06-16,4120,4120,4030,4040,3653.606934,96042200
2022-06-17,4010,4120,3980,4120,3725.955811,169375800
2022-06-20,4050,4060,4000,4040,3653.606934,82101200
2022-06-21,4060,4120,4030,4110,3716.912109,77489000
2022-06-22,4090,4090,4040,4050,3662.650635,60907800
2022-06-23,4030,4160,4030,4160,3762.130127,101065400
2022-06-24,4230,4230,4100,4150,3753.086426,81050700
2022-06-27,4110,4120,4040,4070,3680.737793,71574300
2022-06-28,4010,4050,4000,4030,3644.563721,128618800
2022-06-29,4000,4080,4000,4040,3653.606934,72888100
2022-06-30,4110,4110,4000,4000,3617.432861,116718900
2022-07-01,4010,4040,4000,4020,3635.520020,39572500
2022-07-04,4020,4040,3840,3990,3608.389160,115885200
